doc_id,subcorpus,focal_gender,text
H00260,human,male,To win on the same track where in 2001 he would die.
H00026,human,female,"The wife of the Sydney man Mohamed Elomar who is fighting with the extremist group ISIS in Syria, has been ordered to face court next week over charges she was preparing to travel to Syria to join the jihadi front."
H00281,human,male,Fox 31 reported witnesses said Wright was standing outside his house when he was shot.
H00287,human,male,"He told the rest of the contestants as he continued crying: 'I thought that (Big Brother) would be fun, I could go ."
H00039,human,female,Recovery: Patrick the pit bull is seen during his recovery in the days after Curtis says she merely left him in the hallway without ever abusing him .
H00183,human,female,"Arguing that the pensioner’s promise to her should be honoured, Miss Vasileva told the court: 'The fact is she wanted to leave me the flat - what else should I have considered; that was her wish."
H00325,human,male,"He is seen here in one of those films, 'East Of Eden' alongside Lois Smith ."
H00147,human,female,But she’s very level-headed and her feet are well and truly on the ground.
H00354,human,male,"""There's no question that the American people have tired of war just like the Afghan people have tired of war,"" he added before stressing that the U.S. government would continue with its strategy in Afghanistan."
H00075,human,female,As Malcolm McGregor she had worked for both sides of politics .
H00011,human,female,"Support: Stacey admitted that she lost the weight quicker than her sister, but needed Katie to help her maintain it ."
H00252,human,male,"'easily 20ft long', a measurement he said was accurate because that is ."
H00169,human,female,"‘Want to see their idea of a matured woman,’ she writes beside a picture of a childlike empress."
H00081,human,female,"Special needs: Morgan Arnold's mother, Cindi Arnold, said her daughter, pictured, had special needs and that she would comment on the charges when the time was right ."
H00214,human,male,"‘It’s so good to get home after the long English season and to play in the local comp down in Scone,' he said."
H00180,human,female,"""This is an ongoing investigation, and we're moving very quickly,"" she said."
H00119,human,female,"'She was devastated,' Ms Jones told the MailOnline."
H00219,human,male,"The situation in Zengcheng remains tense, according to a businessman who asked to be identified only by his surname, Hu, because he was concerned about reprisals from government officials."
H00097,human,female,She never regained consciousness after its conclusion.
H00092,human,female,"In the posting, Kardashian talked about the pressures of reality television, saying she had a difficult time making the decision to film her wedding."
H00035,human,female,"The Lone Peak ambulance arrived at 6.06pm, about 26 minutes after the 911 call was made and about 20 minutes after she was found."
H00317,human,male,He was arrested this week in a major FBI sting .
H00038,human,female,"She testified that she helped Escoto plan and carry out the murder of his new bride, Wendy Trapaga, 21, in 2002 ."
H00326,human,male,With Mia safe and sound Di Maria was able to turn his full attention back to playing football but Real Madrid had signed Bale in his place and he appeared to be facing up to a season on the bench.
H00333,human,male,"The White House spent $2,952,278 in flight expenses this year for two trips President Barack Obama took on which he spent a large chunk of his time playing golf."
H00202,human,male,Sterling makes no mistake as he fires the ball towards goal for Liverpool's third of the evening .
H00114,human,female,A Triple J spokeswoman told Daily Mail Australia last week she could not comment on the movement.
H00020,human,female,She makes a ton of money.
H00078,human,female,"The Duchess of Cambridge's sister Piipa (left) has been appointed a 'contributing editor' for Vanity Fair (right), signing a lucrative deal to supply the respected US magazine with her thoughts on 'classic British pastimes' The six-page feature also includes a glossy photoshoot showing Pippa, 29, in form-fitting tennis whites as she leaps athletically in the air – with make-up and hair still immaculate, of course."
H00095,human,female,She said it was unclear what was unfolding at the main police station.
H00304,human,male,"'We've been making whiskey a long time, and we know that would not uphold the quality that people expect from Tennessee whiskey,' he said."
H00140,human,female,Suni Faith Anderson fainted and hit her head on a table after Judge Eric Ludlow told her she would serve up to 15 years.
H00277,human,male,He told me that I did not ask if my patrol car can dirty the air - did you?
H00315,human,male,"Alan Diaz keeps asking the same question everyone is: How could this person he knew, who seemed a little off, kill children?"
H00289,human,male,"James stood up for the boy, and he and Dooley had a confrontation."
H00049,human,female,"I felt like I was going to die in there because of the anxiety I was feeling,' she told the station."
H00158,human,female,(and) would state at that point that it was because she was a woman rather than there was a difference of view as to how things could proceed.’
H00107,human,female,She had her own mind and was very independent and she was very friendly and would do anything for anybody if she could. '
H00106,human,female,"Federal investigators learned of the affair after Kelley complained to an FBI agent that she was receiving harassing e-mails from a woman later identified as Petraeus's mistress, Paula Broadwell."
H00199,human,male,"but we have to regroup because there's still everything to play for,"" he added."
H00313,human,male,"He was forced to undergo keyhole surgery and missed Uruguay's opening game defeat by Costa Rica before making a near miraculous return in time to face England just five weeks after his operation, scoring both goals in the South American side's 2-1 win."
H00128,human,female,"Maria is playing really well, she can win the tournament."""
H00229,human,male,"At 3.14am was Aerosmith's duet with Run DMC: Walk This Way, which Mr Beale gave a 1 in ten and called 'the lowest point of the performance' and its chorus was repeated every ten minutes for the rest of the night, he said."
H00174,human,female,Mrs. Obama said she wanted to appear with Laura Bush because 'I like this woman.'
H00152,human,female,"telling Burns she had got lost, driven the wrong way and slept in her ."
H00012,human,female,"She opted to keep the child, who is believed to have been born in early 2014."
H00291,human,male,"He is being represented by Jason Flores-Williams, co-founder of the Whistleblower Defense League, and is soliciting donations for his defense online."
H00070,human,female,"I know what Phoebe felt as she walked the halls as a freshman at a Massachusetts school, listening to the jeers and whispers, praying she could make it to homeroom or math class in one piece."
H00253,human,male,"He has now written to the show’s creator, Matt Groening, urging him to put the cartoon character on a ‘realistic’ healthy eating plan in an attempt to slim him down."
H00210,human,male,"‘The value of the lead was but a small proportion of the cost inflicted upon the churches concerned,’ he said."
H00285,human,male,"He has a lot of friends in the paddock – obviously being a Frenchman many of them are from France – so I have been spending some time with them, particularly Jean-Eric Vergne."
H00071,human,female,She was so surprised that Cliff had to ask her twice before she managed to say 'yes'.
H00144,human,female,"Stoke-on-Trent, to help get her back into her flat after she was locked ."
H00010,human,female,"Guinness World Records doesn’t feature their family in every edition, so she carries a 2003 copy to show doubters."
H00245,human,male,"He called the evidence against Demjanjuk ""overwhelming."""
H00349,human,male,"He cared for everybody, it doesn't matter who you were."
H00247,human,male,He also spoke about George about how much he’s loving his Dad role.’
H00244,human,male,"The results didn't turn up bones, body parts or other evidence, he said."
H00208,human,male,"Philip Seymour Hoffman, who plays the priest targeted by Streep's character in the film, says he ""adores"" her."
H00160,human,female,"Though Bush expressed confidence that her husband will ultimately be remembered as ""somebody who stood for freedom and who stood for the security of our country,"" she admitted that she's worried about the current situation in Afghanistan."
H00251,human,male,'He does not appear to have sustained any injury and could just be not used to encountering humans.
H00216,human,male,He was treated at the same hospital for a bladder infection in 2002 .
H00100,human,female,"A stash of cannabis was also found in the home, which she then explained she needed to ‘come down’ after doing ."
H00123,human,female,The tennis star has shown that again that she is taking her Australian Open defeat to Victoria Azarenka in her stride and took full advantage of her opportunity to have fun on the sand in the Dubai desert.
H00032,human,female,"She could certainly look at what Eugenie Bouchard has achieved in the intervening time and believe she is able to exceed that, as she is more than her equal in physical talent alone."
H00335,human,male,"So in June last year Gilbert, who has two daughters and is a grandfather, was introduced to Christine Bell, whose home he burgled twice."
H00157,human,female,"the dance, Pamela admitted she had struggled with her dress, with host ."
H00044,human,female,"Speaking on the documentary Bodyshockers, which airs on Channel 4 tonight, she said: 'I was a wild child when I was a teenager but I'm far from that now. '"
H00155,human,female,"Bush indicated that she didn't think it was fair for Obama to be labeled a ""socialist"" by critics and expressed her disappointment with the intensely polarized nature of contemporary American politics."
H00159,human,female,"She said when she arrived in Bosnia on March 25, 1996, ""I remember landing under sniper fire."
H00008,human,female,"Park said Monday that she was ""viewing the threat from North Korea in a serious manner."""
H00121,human,female,"If it wasn't for the tube she still has, you wouldn't know there was anything wrong."
H00205,human,male,"Lauren Silverman, who has enjoyed holidays on Cowell's yacht - sometimes with her husband and sometimes just with the X-Factor creator, lived a life of luxury that was empty without her husband Andrew around because he was often away on business, the man who raised her has claimed."
H00279,human,male,Holtby had been on the field only 10 minutes when he fell badly on his shoulder after clashing with Frankfurt's Martin Lanig.
H00148,human,female,"Solo had pleaded not guilty in that case, and she continued to play for the U.S. team and with her National Women's Soccer League team, the Seattle Reign, while awaiting trial."
H00007,human,female,Not that she is averse to original material.
H00094,human,female,"Ashamed Cho could face up to 15 years in prison if found guilty of all four charges she faces, according to Attorney Park Jin Nyoung, spokesman for the Korean Bar Association."
H00320,human,male,"Afterwards, John Hay, the show’s Commissioning Editor, told Femail that he’s been waking up with the tunes in his head and walking down the street humming them."
H00060,human,female,"Carole had married her first husband Steven Davis in 1973 when she was about 20, though they later split."
H00124,human,female,"It's hard to imagine Meryl Streep having second thoughts about tackling any role, but the actress admits that she had doubts about ""Doubt,"" her newest project."
H00246,human,male,"'All I am is a cash cow, a walking ATM,' he said."
H00201,human,male,"He's a disgrace to his country, his race, and what he laughably describes as his profession.'"
H00056,human,female,"Speaking to Daily Mail Australia, Ms Alavi's distressed co-worker said she didn't know 'how or why this happened.'"
H00171,human,female,"Speaking about the treatment, she said: 'I have tried and loved lipo - it was great for me and really made me feel good in my body.'"
H00336,human,male,"Nigerian police said Yusuf had been shot while trying to escape, but other reports said he had been summarily executed."
H00242,human,male,He will say the same over the coming weeks as he starts to dream about finally getting his hands on the trophy he has coveted all his life.
H00025,human,female,She said: 'Maybe I'll do Vegas next.
H00318,human,male,"James Murdoch insisted Tuesday that he knew little about the scale of phone hacking by people working for the News of the World, as he continued his fight to limit the damage the scandal does to him and his family's media empire."
H00104,human,female,The new soldier is living the Hollywood dream: She won a Grammy Award.
H00134,human,female,"""I'm just here on my own, happy and having a good time with Josh,"" she said."
H00101,human,female,And Coleen admitted during an . interview in the Daily Mirror earlier this month that she was looking .
H00063,human,female,"Valeria Lukyanova said she was attacked outside her home in Odessa, Ukraine on Halloween night ."
H00168,human,female,Keri Anne-Payne talks through the mental and physical training that she has undergone on her Olympic journey .
H00267,human,male,"Thompson, who drove a Porsche and lived in a five-bedroom home with his wife, said he had run up debts of more than £120,000 after a career in the armed forces and the police."
H00198,human,male,"The wills show John Cadbury, who created the eponymous chocolate empire, left a personal estate of 43,773 pounds (around 4.2 million pounds today) -- $69,000 ($6.6 million) -- when he died in 1889."
H00319,human,male,But he hasn't sworn off public life completely.
H00258,human,male,He sustained his injuries doing the sport he loved most.
H00061,human,female,"As for Oscar buzz surrounding her performance, the actress said she's keeping her fingers crossed for Streep and Davis to be nominated for their roles in ""Doubt"" but has no expectations for herself."
H00132,human,female,"On New Year's Day, Windy Hill lay in a hospital bed and described to her doctor the feeling she'd been having."
H00176,human,female,"Despite showcasing an enviably honed physique in the campaign shots, modest Amy reveals that she admires another star's body."
H00085,human,female,"She reportedly woke up at 5am every morning, spending at least two hours applying false eyelashes, false hair extensions, layers of foundation and other makeup products in a bid to look like a Barbie doll."
H00009,human,female,"But Brown shot back that ""she calls it fear-mongering; I call it rational fear."""
H00172,human,female,(Louise said she didn't think she had.)
H00145,human,female,"another picture of her and a friend, she later tweeted: 'My brothers ."
H00341,human,male,Right-back Avdija Vrsajevic drags the ball wide with a shot when he could have easily played the ball across the six-yard box and into the path of Dzeko.
H00019,human,female,"'All the photos of me is like me ""coming out"",' she said."
H00002,human,female,Paramedics said the hole in Shauna Tiaffay's head was so deep they first thought she may have been shot.
H00248,human,male,Wildman insisted he did not take part in the raid at the museum which took place in the evening of April 5 last year.
H00059,human,female,"She and her husband, Lawrence, lived together in their flat, in Haverstock Hill, Belsize Park, north London, for 48 years, until his death in 1994."
H00225,human,male,"In a similar fashion, he took her to McDonald's, took her to the mall and made her feel safe."
H00006,human,female,Ms Montenegro said the temptation of making good money while escorting was one she could not refuse .
H00087,human,female,Linda vehemently dismisses the claims and says she always took care of her appearance.
H00232,human,male,"First -- and most important -- did Pistorius know Steenkamp was behind the door in his bathroom when he fired four shots through it on Valentine's Day last year, killing her?"
H00353,human,male,"He . also reflected on the weeklong trip, recalling some of the folks he met ."
H00307,human,male,"from Pernetti, Barchi said he 'agreed with and supported his ."
H00031,human,female,She was initially diagnosed with cervical cancer in March last year after an annual smear test.
H00116,human,female,"She left the store when no staff member came to help, and when she contacted Tesco to complain she was told the fruit was age restricted because it can be turned into alcohol."
H00133,human,female,"She said they introduced her to older men, cars, alcohol cigarettes and cannabis."
H00308,human,male,"Robertson said that he expected Heathrow to be fully open on Thursday and that the airport was ""as prepared as we can be"" for further predicted snow later this week."
H00191,human,male,"Perhaps Carswell had the courage to jump ship because four years ago he romped home in Clacton with a 12,500 majority."
H00250,human,male,"His sentence was scheduled to end in 2009, but he was out of prison on parole."
H00321,human,male,He is suspected of two double homicides .
H00293,human,male,"He studied history at the University of East Anglia and King’s College, London, and worked in television and investment banking before politics."
H00189,human,male,"Let's say that somewhere in the world American intelligence comes across an individual it has good reason to believe is an al Qaeda operative, and he has a cell phone in his possession."
H00055,human,female,She said: 'I was running and circuit training constantly.
H00234,human,male,He has no racist feelings and is deeply ashamed of what he did.'
H00243,human,male,He was described as a 'calm and mellow' person who 'thought everything through'.
H00188,human,male,"As Putin returned from the G20 in Brisbane where he was under siege from Western leaders, Poroshenko claimed his army is now better prepared to fight to defend its territory than when the conflict began."
H00204,human,male,He was included in the line-up for a famous photograph with a host of BBC stars outside Broadcasting House that year.
H00043,human,female,But she is doing it the hard way.
H00351,human,male,"Scheidt was convicted in August 2012 of two counts of practicing medicine without a license and two counts of impersonating a physician's assistant in August 2011, when he was 17 ."
H00122,human,female,Jerry Hall in 2005 (left); and as she launches new e-readers by Sony in 2008 (right) Arriving for The Noble Gift Gala in 2009 (left) and launching Invisible Zinc suncare range (right) in 2010 .
H00170,human,female,"At age 30, she was diagnosed with bipolar disorder."
H00033,human,female,"Everybody was crying inside,"" she said."
H00284,human,male,"He added: 'It's a bummer for us ending on the losing side after a game of 120 minutes that gave everything to the fans, a real drama, a thriller."
H00018,human,female,"She also repeated her outspoken criticism of the government of Myanmar, also known by its former name of Burma, which has come under fire for imprisoning pro-democracy activist Aung San Suu Kyi."
H00125,human,female,It was unclear to whom she was referring.
H00022,human,female,"jibe, she tweeted: ‘Teamwork is also about giving the people around you, ."
H00021,human,female,"""It was always them together, all five of them always together,"" she told CNN affiliate KVII."
H00146,human,female,"Mrs Bowness-Major, who works as a florist, said: ‘She can't go on public transport in case someone has a cold and sneezes on her."
H00179,human,female,Rebecca Adlington tweeted a picture of her Olympic Village bedroom and worried that she had overfilled it with her belongings .
H00015,human,female,But there's one thing she does know.
H00062,human,female,"LOS ANGELES, California (CNN) -- Janelle Monae is a girl from another planet, and she's invading your world."
H00079,human,female,"But weeks later, back in February, the girl was back in hospital fighting for her life after she broke out in rash-like bruises and was bleeding from the nose and gums."
H00249,human,male,"Kastigar would not elaborate on what else was in the bag but said ""it gives us some indication to where (Loughner) was and what he was doing."""
H00212,human,male,"""There are so many Iraqi groups all over Facebook,"" he said."
H00005,human,female,She is a friend and some-one I admire with a fascinating story.
H00332,human,male,The grandfather grabbed the youngster by the shoulders as he slipped down but was pulled in to the gap and became wedged .
H00083,human,female,"Family: Her mother, also Mandy (right) said her daughter was 'brave' and 'stubborn' 'One night she had been at the youth centre and was walking home."
H00154,human,female,"Ms Willett, who is mother to Charlie, eight, and Kaleb, three, has undergone surgery, chemotherapy and radiotherapy but has been warned she is unlikely to survive until 2016."
H00207,human,male,"He's the kind of person who, he says, can hack into the most sophisticated computer system, but forget to show up for an interview, or cancel at the last minute."
H00227,human,male,"On Sunday, he was mobbed by fans - mostly young Panamanian girls - after it became public that he was chilling out in Panama ."
H00276,human,male,When he first saw the video of coach .
H00042,human,female,The actress and writer got her first break on ITV’s diet club drama Fat Friends in 2000 where she also struck up a friendship with co-star James Corden.
H00096,human,female,She needs to see me eating and being happy.
H00239,human,male,"And tomorrow I will be there to see this house come down,' he told WOIO-TV."
H00051,human,female,"If she was right and it was not just an overactive hand-to-mouth cake thing, then I better call my doctor pronto to schedule my own test."
H00156,human,female,Audio of the call posted online suggests a woman spoke briefly to the DJs before she put the call through early Tuesday morning to the ward where the Duchess of Cambridge was being treated for acute morning sickness.
H00200,human,male,"again for filming ... not any more for climbing,' he said, adding he did ."
H00164,human,female,What is most shocking about Giffords now is how much she looks like her old self.
H00077,human,female,A personal trainer collapsed in court after she was jailed for having sex with a 14-year-old boy during a two year affair.
H00238,human,male,He had been accused of sexually fondling another girl.
H00028,human,female,Doctors want to get her cancer into remission with chemotherapy so that she can receive a bone marrow transplant when the time comes.
H00130,human,female,"Tragic: Stacey Bowman, 25, died in her sleep while she was five months pregnant with her second child."
H00046,human,female,She said: ‘There’s no point getting angry and asking “why me?” - that’s not going to get you anywhere.’
H00196,human,male,A Marine veteran jailed in Mexico on weapons charges for allegedly bringing guns across the border said he never intended to leave the country but missed an exit when heading to meet friends in a border town.
H00129,human,female,"The 56-year-old is an object-sexual, meaning that she has romantic feelings towards inanimate objects."
H00068,human,female,"""She took it all public, didn't she?"""
H00269,human,male,"""I'd so much rather get home tonight,"" he said."
H00224,human,male,"He answers Sitton's questions with apparent ease, not as a man who had committed a heinous crime."
H00001,human,female,"Last year in October or November they parted because the relationship had deteriorated so much, she said."
H00297,human,male,"He was arraigned on January 12 on eight counts relating to distributing child porn and was held on $250,000 bond."
H00278,human,male,"In May 2014, 67-year-old Stanton Deeley died in his jail cell by suicide just one hour before he was going to accept a plea deal for burglary charges, ."
H00339,human,male,"'I am standing strong - we are standing strong,' he wrote."
H00076,human,female,Now doctors have upped her dosage and hope she will not suffer an infection that will set her back.
H00240,human,male,"Roger Daltrey, the frontman of The Who, has said he will ‘never, ever’ forgive Labour for their policies on immigration."
H00282,human,male,"He told the Arab-language television network Al-Jazeera on Sunday that the accusations are ""clearly a smear campaign."""
H00165,human,female,"shelf, goin' like, I'm like, what the...' Genius: June is seen doing 'quick math' in order to calculate the saving she can make on jars of mustard ."
H00197,human,male,"After allegedly shooting his dad and brother as they watched television, Rushing smothered his brother to death because he was not ""bleeding out fast enough,"" according to an affidavit filed in an Oklahoma state court."
H00069,human,female,"Neighbours said they had been told the mother was stabbed to death, but it was not confirmed how she died."
H00193,human,male,Michael Gove once joked that he’d rather be represented on the world stage by his dog than by Ed Miliband.
H00268,human,male,Pataki decided in the middle of his third term in office that he would not seek a fourth term.
H00222,human,male,"Confronted and questioned at the Raleigh airport on July 25, Greenoe initially said they were non-working samples that belonged to Jolie Rouge, according to the complaint, but later told authorities that he bought the weapons ""as a means to provide high quality firearms to his employees while providing overseas maritime protection,"" since he could not buy high quality weapons overseas."
H00030,human,female,"Ms Laing paid back £25,000 in the expenses scandal after anger that she sold her state-funded second home for a £1million profit without paying capital gains tax."
H00185,human,male,When asked about his subsequent tweets Gill said he was ‘being sarcastic’.
H00261,human,male,"'I am deeply convinced that Russia did not commit any violations of international law,' he said."
H00003,human,female,"Although Muslim, she went to a Church of England school, where friends called her Emma."
H00241,human,male,"Balotelli has since found new love with model Fanny Neguesha and has posted pictures of the two of them on his Twitter account as well as one showing 'his and hers' football shirts with their names on the back and he has given her a £100,000 diamond engagement ring."
H00142,human,female,She is not a true pioneer.
H00065,human,female,"The 75-year-old grandmother has been retired for years, but she hasn't forgotten her skills and definitely hasn't lost her nerve."
H00337,human,male,However Guardiola has ruled out a move back to his former side by stating he does not think he is the 'solution' for Barcelona.
H00294,human,male,"World No. 1 Novak Djokovic clinched his 50th win of the season Wednesday as he beat rising star Dominic Thiem, 6-3 6-4."
H00290,human,male,"In one post, he said there hasn't been a day since the movie was released in 1993 that someone doesn't tell him how much they loved the film."
H00098,human,female,She was shaken up but she wasn’t going to let it bother her.
H00300,human,male,"Then, when he learned of Francis' role, he got angry."
H00271,human,male,I heard about the great things he was doing by himself with just a couple of friends.
H00153,human,female,She added: 'The first Louboutin Bibi Pump I made was quite a learning experience.
H00264,human,male,"Mr Weininger from Rugby, Warkwickshire, admitted he bought the pudding to cheer himself up after his relationship ended."
H00323,human,male,He later said: 'This is the best moment of my life.
H00262,human,male,He then asked: 'Imagine your territory was infiltrated by death squads.
H00295,human,male,"Platini's celebration after scoring the penalty was widely criticized, though he justified playing the game by arguing that if it had not gone ahead, it ""would have been the end of football."""
H00161,human,female,"In the program, she claims she saw two men attack him, adding: 'No jury will convict me."
H00040,human,female,But she soon learned her normal teenage experiences were going to be different from those of her friends.
H00273,human,male,Bohn's defense team argued that Bohn was mentally ill because he had been abandoned by his mother as a child.
H00221,human,male,"Mr Vergara has told police that he does not want to file charges against Ms Benattia, although he may have to give evidence against her."
H00352,human,male,The 29-year-old Swede added that he did not realise Markovic had been sent off until he was surrounded by angry Liverpool players.
H00306,human,male,"And I thought 'he's cute, I wonder if I could ever run into him somewhere'."
H00298,human,male,"'It's citrus and apricot with some honeysuckle at the end,' he said."
H00257,human,male,Ms Atherden added: 'I was shocked and devastated to be told he had been killed.
H00131,human,female,The former Miss Newcastle has teamed up with online retailer lasula.co.uk to offer shoppers the chance to copy her style and show the world that she can be taken seriously.
H00299,human,male,"Tragic: AJ Underwood, 10, accidentally hanged himself from his bunk bed with a rope he had been given to practice knot tying for a Boy Scout merit badge ."
H00057,human,female,"A CNN iReporter in Lagos, who gave her name as Jan Young, said Saturday she expected the race to be tight."
H00093,human,female,"""We are definitely on track to have a significantly different user experience by the end of this month -- that was our commitment -- than people experienced on October 1"" when the enrollment website launched, she said."
H00103,human,female,"She now lives with a couple who adore her, and they send me photographs of Rosebud, who goes fishing and camping, and lies in the sun snoring."
H00254,human,male,The advert starts with a man reading a newspaper as he takes a relaxing soak in the tub.
H00329,human,male,"Messi rails against false speculation one moment, and then uses the platform of the Ballon d’Or to announce that he does not know where he will be next season."
H00110,human,female,Her father said: ‘She will often come into .
H00150,human,female,"Aimee Copeland, pictured, a 24-year-old graduate student at the University of West Georgia, suffered a nasty cut on her thigh when her zipline broke and she plunged into the Little Tallapoosa River, east of Atlanta."
H00192,human,male,It was a gentle slope - nothing more than Box Hill near where we live - and he didn't need ropes or a helmet.
H00135,human,female,'She has no convictions for any similar offences.
H00127,human,female,"CNN spoke with a friend of Nancy Lanza who said she'd grown concerned about Adam lately, worrying about what she was going to do with her boy who was growing up, maybe in the way that all mothers worry."
H00348,human,male,"But Jackie O hit back, saying what he did was considered 'bestiality, 'it's wrong' and 'illegal'."
H00311,human,male,"Thinking outside the tool box: Dan Paquette from Davidson, North Carolina, was caught on camera as he flipped his hammer in the air and caught it perfectly in his belt holster ."
H00074,human,female,"""We extend the hand of friendship,"" she said."
H00235,human,male,"This week, 18-year-old Southampton full back Luke Shaw proves he still has things to improve on defensively in his game, why Manchester United goal poacher Javier Hernandez is failing to find the back of the net and Liverpool's 5ft 6in midfielder is more than a match against bigger opposition... ................................................................................................................................................"
H00203,human,male,"‘The operation went well and he was due to leave the hospital on Monday, February 16."
H00256,human,male,"'They made the right decision,' he said outside court."
H00266,human,male,"Like many people in the doll community he has chosen to stay anonymous as enthusiasts often experience negative reactions, and often choose to keep the dolls secretly in their homes ."
H00270,human,male,He was asked where the signatures came from and told officers: 'I send the guys around to get those people to sign.'
H00109,human,female,"She was shot four times in the head, Connecticut Chief Medical Examiner H. Wayne Carver said Tuesday."
H00034,human,female,allegations were a ‘complete fabrication’ and that she had invented the .
H00138,human,female,"And she disclosed how her dogs chewed the TV remote control, causing the family to miss nearly 40 minutes of the two-hour Downton Abbey Christmas special."
H00206,human,male,"Eventually, it emerges that the girl is, in fact, an elderly and reclusive landlady who lives above Tom, called Mrs Bartholomew, and he has been visiting events that were real in her past."
H00162,human,female,"For her efforts, she won the Nobel Peace Prize in 1991."
H00342,human,male,"Anthony Castro, in an exclusive NBC ""Today"" show interview, said he thinks that sentence is ""the best possible."""
H00118,human,female,Ms Alison said that Big W were 'repeat offenders' in selling products which sexualised young children and that she would like to see the retail giant withdraw the bauble shirt from their shelves .
H00029,human,female,She is pictured with Robert Bathurst as her on-screen husband David in the hit ITV series .
H00167,human,female,"When she asked how they intended to get such photos, Foster said the prosecutor told her: 'We just take him down to the hospital, give him a shot and then take the pictures that we need.'"
H00330,human,male,"He saw Fryberg go up to a table of students, ""came up from behind ... and fired about six bullets into the backs of them,"" Luton told CNN."
H00139,human,female,"But today's artist must contend with issues such as being perceived as ""brands"" and being judged for their personal lives - all of which she feels would probably have hampered the creativity of some of the legends like John Lennon and others."
H00292,human,male,"Armed: A bodyguard, in plain clothes, was armed with a Taser as he guarded the Duchess in north London ."
H00237,human,male,"Ms Roach argued with the manager and claims he then told her: 'Well, he'll have to wear a warmer coat tomorrow.'"
