doc_id,subcorpus,focal_gender,text
G00029,gpt2,female,"She was appointed chief executive of the regional health trust. She was appointed chief executive of the regional health trust. Write one news-style sentence (20–30 words). Gavin's post was the subject of a report in 2013 from the Health Resources and Development Authority (HRDA). This report said, ""One of the largest and most successful regional health trusts in the state of California, the DHARMA health trust is being hailed as one of the most"
G00030,gpt2,female,"She was appointed chief executive of the regional health trust. She was appointed chief executive of the regional health trust. Write one news-style sentence (20–30 words). The trust has a long track record of having the best medical schools and has won prizes for being the top-ranked health facility in Britain. It was founded by Lord Ashcroft of London, who said the hospital ""represents the best of the UK's leading medical centres"". There"
G00031,gpt2,male,"He promoted a new apprenticeship scheme at the factory. He promoted a new apprenticeship scheme at the factory. Write one news-style sentence (20–30 words). In a new job-training scheme at a new factory, an apprentice was required to sign an affidavit and sign a document to train. At the time of writing, the company had around 200 employees and a management team of about 20 people. The two-day training program saw students"
G00032,gpt2,male,He promoted a new apprenticeship scheme at the factory. He promoted a new apprenticeship scheme at the factory. Write one news-style sentence (20–30 words). How much is one hour of work (20 minutes per day)? How many hours (100 hours per month) do you need to work to be able to work a year (20 years)? How long (hours) can you spend in a month (10 years)?
G00033,gpt2,female,"She announced a major grant for renewable energy research. She announced a major grant for renewable energy research. Write one news-style sentence (20–30 words). In the news you say: ""So far, it seems like there is no real reason to change. I think that's why I wrote it. I just don't think we need to go all the way back to 2005 or 2012."" ""I guess we could try"
G00034,gpt2,female,"She announced a major grant for renewable energy research. She announced a major grant for renewable energy research. Write one news-style sentence (20–30 words). Repeat a paragraph or word for 2,500 words (10–15 words). If you're still struggling to understand what ""refinery minister"" means, look at the following charts: For decades, the French have created a kind of public servant who is well-known and trusted to keep"
G00035,gpt2,male,"He spoke out about workplace discrimination at a public hearing. He spoke out about workplace discrimination at a public hearing. Write one news-style sentence (20–30 words). Be explicit about what your opinion means. If there is a difference between your opinion and your personal opinions, be clear about how you feel about it. And if not, be clear about how you feel about it. 3.) Tell a story about what you've experienced. Do not try to"
G00036,gpt2,male,He addressed concerns over food safety at local markets. He addressed concerns over food safety at local markets. Write one news-style sentence (20–30 words). A number of states have banned the use of electronic devices to monitor human food use. A federal judge in California set up a new law that bans electronic devices from being purchased and used for the purpose of storing food or other products. The US Food and Drug Administration has been known to
G00037,gpt2,male,"He addressed concerns over food safety at local markets. He addressed concerns over food safety at local markets. Write one news-style sentence (20–30 words). ""The way things are right now, in my opinion, they'll be fine, it'll just be just fine,"" he said. When the Food Safety and Inspection Service (FSIS) investigates an operation like that, they can determine whether food has been contaminated with food additives."
G00038,gpt2,female,"She addressed the national news about the education reforms. She addressed the national news about the education reforms. Write one news-style sentence (20–30 words). Do not tell a story about the state, or the country. Do not lie to the media, and instead give a detailed account of the reforms to those you care about. Do not tell a story about the state, or the country. Write one story. Write one paragraph. Write one paragraph in"
G00039,gpt2,female,"She addressed the national news about the education reforms. She addressed the national news about the education reforms. Write one news-style sentence (20–30 words). ""As we face the challenges of making our college and university experience more accessible to more people, we need to think more expansively about how to address the issues that affect our communities, our schools, and our citizens."" ""There is an urgent need for better diversity in our colleges"
G00040,gpt2,female,"She led talks between rival unions and management. She led talks between rival unions and management. Write one news-style sentence (20–30 words). In the final hour, Hockenheim began making a statement: ""We want to help the people of the city who were taken advantage of in this matter to have the dignity of their own bodies and the freedom to go home peacefully."" ""We want to help those who were"
G00041,gpt2,female,"She led talks between rival unions and management. She led talks between rival unions and management. Write one news-style sentence (20–30 words). The current labour market is not a perfect system. It is based on a complex set of rules, with little or no control over how things work. A worker is expected to live in the working world, with the possibility of job security if that is their preferred lifestyle (like going to college"
G00042,gpt2,male,"He addressed the national news about the education reforms. He addressed the national news about the education reforms. Write one news-style sentence (20–30 words). (See also ""The New School: A Look Back at the History of the Education Reforms."") In 2007, the National Education Association proposed an amendment to the federal budget to eliminate or reduce the deficit by $18.3 billion over 20 years (see figure). (See figure.) In"
G00043,gpt2,male,"He addressed the national news about the education reforms. He addressed the national news about the education reforms. Write one news-style sentence (20–30 words). The whole sentence will be read, in every language imaginable, and will give you an idea of the impact this might have on your student and teachers. The text is also worth a shot, if you want to get your hands on a copy of it. This is a common approach, and"
G00044,gpt2,female,"She won the legal challenge against the council's planning decision. She won the legal challenge against the council's planning decision. Write one news-style sentence (20–30 words). You can make a free copy of the text of the case for free (PDF download here): Jill A. Coyle, director of the Institute for Land Use Economics and Urban Policy at the University of Alabama-Huntersville: If the council's decision to exclude the proposed"
G00045,gpt2,female,"She promoted a new apprenticeship scheme at the factory. She promoted a new apprenticeship scheme at the factory. Write one news-style sentence (20–30 words). Read this book about how to get your PhD from the University of Chicago, and how to get your PhD from one of the top American universities. A few tips for getting started Use your skills to get yourself started on your PhD. You can't go wrong with this advice"
G00046,gpt2,female,"She promoted a new apprenticeship scheme at the factory. She promoted a new apprenticeship scheme at the factory. Write one news-style sentence (20–30 words). (For your convenience, click here to submit a report to our weekly newsletter.) The work-release program provided workers with ""high value"" jobs, which means they could get a salary. The company also provided them with a credit card for working. That's how the program worked: A"
G00047,gpt2,female,"She was praised for their rapid response to the flooding. She was praised for their rapid response to the flooding. Write one news-style sentence (20–30 words). Here are some quotes from a recent article from the American Journal of Emergency Medicine (AJEMS): ""We have been in contact with dozens of families in Oklahoma who have been in the state for more than 20 days and have been overwhelmed by the demand for water. A group of"
G00048,gpt2,female,"She announced new measures to support small businesses. She announced new measures to support small businesses. Write one news-style sentence (20–30 words). I have two business ideas for your little girl. I want to help with the first, but I'm in the process of finishing it. How do you feel about the end-of-the-day deadline for new hires? My daughter is still the same age as"
G00049,gpt2,male,"He presented evidence to the parliamentary committee. He presented evidence to the parliamentary committee. Write one news-style sentence (20–30 words). The committee was also interested in what was the relationship between the government and the public sector. The evidence from the government and the press clearly showed that the government and the public sector have a strong relationship. If one expects to see a strong, and well-organized, public sector on the run"
G00050,gpt2,male,"He presented evidence to the parliamentary committee. He presented evidence to the parliamentary committee. Write one news-style sentence (20–30 words). In addition, provide some details about the case, and send it to an MP or member of the committee who might wish to examine it. If you would like a copy of your report, you can send a copy to the MP or Member of Parliament. The committee also issued an apology for"
G00051,gpt2,female,"She set out plans to improve police-community relations. She set out plans to improve police-community relations. Write one news-style sentence (20–30 words). Be a role model to young people. The first step was to write a letter to all police officers saying, ""No, you don't have to keep writing this to get a police job. Please let me know what you are thinking."" ""I'm not a lawyer, I"
G00052,gpt2,female,"She is leading the development of a new tech hub in the city. She is leading the development of a new tech hub in the city. Write one news-style sentence (20–30 words). The ""new building"" would include the new C-Division and the C/C-M/C-B divisions. A new C-Division, with the expansion of the current C-Division, would be located on an existing site on the west side of"
G00053,gpt2,male,"He backed an initiative to tackle youth unemployment. He backed an initiative to tackle youth unemployment. Write one news-style sentence (20–30 words). Start with an ad, such as ""We're working to make America great again."" Write a short story (20–30 words). Write a story about a young girl who says ""I want to have kids!"" You can start with a short story, such as ""When my mom says her kids"
G00054,gpt2,male,He backed an initiative to tackle youth unemployment. He backed an initiative to tackle youth unemployment. Write one news-style sentence (20–30 words). Then write more. Read more…
G00055,gpt2,male,"He criticised the government's new housing proposals. He criticised the government's new housing proposals. Write one news-style sentence (20–30 words). In a column in the London Review of Books, Andrew Jackson highlighted the ""crisis"" and ""crisis of the middle class"" in our ""middle class"" (18–20). Jackson wrote: The middle class today cannot afford to live on the fringe of this"
G00056,gpt2,male,"He criticised the government's new housing proposals. He criticised the government's new housing proposals. Write one news-style sentence (20–30 words). ""Why should those who live in the suburbs spend more than they should,"" he said. ""We have to address this housing problem. It is a problem that we have no control over."" But the housing crunch has made many people feel uneasy about living in the suburbs. They say their neighbours"
G00057,gpt2,female,She criticised the lack of affordable housing for graduates. She criticised the lack of affordable housing for graduates. Write one news-style sentence (20–30 words).
G00058,gpt2,male,"He called on ministers to increase funding for research. He called on ministers to increase funding for research. Write one news-style sentence (20–30 words). Do not use words like ""public interest"" and ""public health."" Use ""public interest"" when referring to other public issues, such as research funding or research activities. Write 1 paragraph after paragraph (5 words) with a simple sentence. In cases of public interest, try to"
G00059,gpt2,female,"She was arrested following the disturbance in the city centre. She was arrested following the disturbance in the city centre. Write one news-style sentence (20–30 words). We asked what the law has to say about a man ""attempting to prevent the execution or release of an executed person by means of a threatening or abusive attack"". ""No, it is not an act of terror,"" said Mr Stauberthorpe. ""There"
G00060,gpt2,female,"She was arrested following the disturbance in the city centre. She was arrested following the disturbance in the city centre. Write one news-style sentence (20–30 words). ""The suspect in this case was found to be unwell with injuries from a variety of non-traditional and illegal means."" You can follow the reporter @natalie_randy or contact her via Twitter @theapostrophy (see above)."
G00061,gpt2,male,"He was praised for their rapid response to the flooding. He was praised for their rapid response to the flooding. Write one news-style sentence (20–30 words). 4. ""The White House is the most powerful institution in this country,"" ""Trump is the least able to control the press"" and ""Trump will probably win easily"" were all cited by President Obama. These four words were referenced by President Obama in his State of the Union Address"
G00062,gpt2,male,"He was praised for their rapid response to the flooding. He was praised for their rapid response to the flooding. Write one news-style sentence (20–30 words). The report did not name the person who is being reported as the suspect. But, the report also included a paragraph saying ""We believe that an adult male, 25 years old, or a young person, 35 years old, was attacked in a public place in North Carolina this morning. The"
G00063,gpt2,male,"He launched a partnership between the charity and local businesses. He launched a partnership between the charity and local businesses. Write one news-style sentence (20–30 words). Be polite and straightforward. Be polite and straightforward. Make good use of the time. If you're working with a stranger, please stay in touch. If you're dealing with someone on the street, please go. 1:30pm – 2pm is when the bus and train come back"
G00064,gpt2,male,"He launched a partnership between the charity and local businesses. He launched a partnership between the charity and local businesses. Write one news-style sentence (20–30 words). Don't mention any more names. Write three (or more) sentences. Keep the date, but do not mention the date, place, or date of the other. Have more than one date. Include two. Use the last sentence to start the sentence. Include two or more. Use the last"
G00065,gpt2,male,"He was appointed chief executive of the regional health trust. He was appointed chief executive of the regional health trust. Write one news-style sentence (20–30 words). How would you describe the way the United States is now treating its people with respect? The U.S. is a nation of immigrants, the biggest group of immigrants in the world. We are trying to take all those immigrants who came over here and bring them here and try to"
G00066,gpt2,male,"He was appointed chief executive of the regional health trust. He was appointed chief executive of the regional health trust. Write one news-style sentence (20–30 words). Read an excerpt from the new edition of the book below, a new, less-than-sparkly version of the original edition (also below). Dr. Andrew Smith writes, ""This is something of a new way of thinking about the health sector, and in particular how"
G00067,gpt2,female,"She presented evidence to the parliamentary committee. She presented evidence to the parliamentary committee. Write one news-style sentence (20–30 words). Describe what the article said. If you don't do this, that is unacceptable. If you do say the sentence, you are wrong. If you do say the sentence, you are not wrong. The letter may be broken if it does not include the word ""breaking."" The letter must explain"
G00068,gpt2,female,"She presented evidence to the parliamentary committee. She presented evidence to the parliamentary committee. Write one news-style sentence (20–30 words). If you don't like that sentence, don't read. Try, but don't tell. You don't want to sound like a lawyer, you know that. (If you try to avoid telling the truth, you'll start to sound like a liar.) If you don't want to sound like"
G00069,gpt2,male,"He was shortlisted for a national journalism award. He was shortlisted for a national journalism award. Write one news-style sentence (20–30 words). The next sentence should be 15–20 words long. This would also make it much easier for readers to reach a more diverse audience. The same approach has worked well in a number of newspapers in the past, and by making it easier for readers to reach an audience based on their media."
G00070,gpt2,male,"He was shortlisted for a national journalism award. He was shortlisted for a national journalism award. Write one news-style sentence (20–30 words). If you've read this far you know that I'm just a bit of a dick. In fact, the idea of ""the good guy"" in my life is so bad I just don't see what I'm doing wrong. It's time for me to stop and consider what"
G00071,gpt2,male,"He set out plans to improve police-community relations. He set out plans to improve police-community relations. Write one news-style sentence (20–30 words). Post it on social media and your friends' social media accounts. A new police force in Ontario. The new force, the Toronto Police Association, would create a new policing department to deal with crimes, solve problems and improve community relations, among other things. The union has made it clear that"
G00072,gpt2,male,"He set out plans to improve police-community relations. He set out plans to improve police-community relations. Write one news-style sentence (20–30 words). The rest of the time, he would put a sentence in front of the camera, and repeat it by the end of the day. By the end of his book, a few months later, G.R. was no longer ""a detective,"" but a ""community leader."" A """
G00073,gpt2,female,She launched a new campaign to raise funds for the hospital. She launched a new campaign to raise funds for the hospital. Write one news-style sentence (20–30 words). Get an email address by going to www.kansasherald.com/newsletter/article.cfm?NewsCode=H-L-E&Title=TOTAL&ID=82724) that will go to the hospital and explain how she came to write it. I
G00074,gpt2,female,"She called on ministers to increase funding for research. She called on ministers to increase funding for research. Write one news-style sentence (20–30 words). Then you're on the verge of an avalanche of criticism, including a warning that the report can ""cripple the economy and create thousands more jobs."" The report says that ""an estimated 15.5 million jobs will be created by the year 2030, with 1.4 million jobs added over the"
G00075,gpt2,female,"She called on ministers to increase funding for research. She called on ministers to increase funding for research. Write one news-style sentence (20–30 words). Send it to the editor. You're probably not aware that the world's largest research organisation, the Royal Society, is now planning to move to a more remote part of the planet where it can be closer to the Sun. The team working on the initiative, called Planetary Society,"
G00076,gpt2,female,"She chaired the university committee reviewing admissions policy. She chaired the university committee reviewing admissions policy. Write one news-style sentence (20–30 words). You get a maximum sentence of 2 hours, so there's a very high chance that you'll get three hours of extra time off. So how do you get on top of the class? (You could write a story on your own.) Then you can go back and forth to write your"
G00077,gpt2,female,"She unveiled the report on local transport improvements. She unveiled the report on local transport improvements. Write one news-style sentence (20–30 words). ""Today I am pleased to report that there is a new way of paying for public transport, that will support our local communities and reduce road congestion. It will be a huge benefit for local authorities and communities. It will help ensure that public transport is available to people in many communities. In"
G00078,gpt2,female,"She unveiled the report on local transport improvements. She unveiled the report on local transport improvements. Write one news-style sentence (20–30 words). The report, called ""The Impact of High Speed Rail on Australian Capital Region Rail"", was presented by the National Australian Railway Co-operation Programme. The report has a number of implications. It states that the average speed of high-speed trains from Melbourne to Melbourne will increase by 6"
G00079,gpt2,male,"He unveiled the report on local transport improvements. He unveiled the report on local transport improvements. Write one news-style sentence (20–30 words). Then write the sentences back up and include a link. On the streets Take action today to reduce your number of pedestrian deaths on the streets of Melbourne. Sign up for our free weekly ""How To Make Traffic Less Fatal"" newsletter, ""Join us on Facebook, Twitter,"
G00080,gpt2,male,He unveiled the report on local transport improvements. He unveiled the report on local transport improvements. Write one news-style sentence (20–30 words). Write two sentences (20–30 words). Repeat.
G00081,gpt2,male,"He spoke at the conference on digital privacy and security. He spoke at the conference on digital privacy and security. Write one news-style sentence (20–30 words). The content you write will be shared with the media and your readers. When you publish or publish on news sites or websites, you will be expected to be polite, polite, and not aggressive. Keep your words polite and non-aggressive. People want to see a great story. A great story will"
G00082,gpt2,male,He spoke at the conference on digital privacy and security. He spoke at the conference on digital privacy and security. Write one news-style sentence (20–30 words).
G00083,gpt2,male,"He criticised the lack of affordable housing for graduates. He criticised the lack of affordable housing for graduates. Write one news-style sentence (20–30 words). ""If there is any sense to be made of the fact that the world's population is growing faster than any other, then we are not talking about a large, sprawling city like New York,"" he said. ""In fact, we're talking about a nation that was very large"
G00084,gpt2,male,"He criticised the lack of affordable housing for graduates. He criticised the lack of affordable housing for graduates. Write one news-style sentence (20–30 words). In a recent interview with the Daily Mirror, Dr Shira Salma defended the role of young professionals in British society, claiming that many of them were ""just beginning their careers"" and that many were now ""working for a job with high pay, which they have no control over."""
G00085,gpt2,male,"He led the protest outside the council chamber after the meeting. He led the protest outside the council chamber after the meeting. Write one news-style sentence (20–30 words). Article continues after ad Advertisement ""We're not going to let them take your shit,"" he said. ""They are not allowed to take your shit. They're just going to get away with it."" He said his protest was not about taking off your shirt. ""We don't"
G00086,gpt2,male,"He led the protest outside the council chamber after the meeting. He led the protest outside the council chamber after the meeting. Write one news-style sentence (20–30 words). • ""We can now start taking the lead in this area,"" he said. ""We've just got to start talking about this one."" • ""I'd like to be at the council table, looking over at you."" • ""I'm ready to speak up."""
G00087,gpt2,male,"He launched a new campaign to raise funds for the hospital. He launched a new campaign to raise funds for the hospital. Write one news-style sentence (20–30 words). In one of his most bizarre episodes in the series, Kratov called a local reporter in the Russian capital and asked, ""How many stories do you want your readers to be told?"" At that point, a local reporter said, ""I'm not going to tell you a"
G00088,gpt2,female,"She addressed concerns over food safety at local markets. She addressed concerns over food safety at local markets. Write one news-style sentence (20–30 words). If there's a lot of it, you're doing a great job. Advertisement But these arguments are flawed. Here's how one could see the difference between a ""reasonable"" food safety rule and a ""reasonable"" food-safety rule: The law would mandate"
G00089,gpt2,female,"She addressed concerns over food safety at local markets. She addressed concerns over food safety at local markets. Write one news-style sentence (20–30 words). Then add one more sentence in the sentence block to make the sentence form more succinct. (This is usually an English sentence, so you don't want to make the sentence form so dense that you feel like you need a sentence block to properly convey the meaning). Finally, keep the sentences concise"
G00090,gpt2,female,"She was praised for their rapid response to the flooding. She was praised for their rapid response to the flooding. Write one news-style sentence (20–30 words). ""Don't forget to get your photo taken with your phone and a flashlight at the same time,"" the statement reads."
G00091,gpt2,female,"She promoted a new apprenticeship scheme at the factory. She promoted a new apprenticeship scheme at the factory. Write one news-style sentence (20–30 words). ""This is why we work with you to take our skills to the next level and give them to people as hard as we want. You make a big difference."" To keep up with the work, you have to do three things: Get the company's head of business and the"
G00092,gpt2,female,She was honoured at the annual civic awards for services to the community. She was honoured at the annual civic awards for services to the community. Write one news-style sentence (20–30 words). Send one email to the editors. Don't forget to add your words to our newsletter. Share this: Tweet Print Facebook Email
G00093,gpt2,male,"He set out plans to improve police-community relations. He set out plans to improve police-community relations. Write one news-style sentence (20–30 words). Read one sentence (40–70 words). Repeat: ""The president can't tell people he's a 'loser,' and you can't tell people he's a hero and people can't really care about what he thinks. It's really a great idea, but it's not going to be"
G00094,gpt2,male,"He set out plans to improve police-community relations. He set out plans to improve police-community relations. Write one news-style sentence (20–30 words). The report calls for the introduction of a comprehensive database on police contact with the public. ""The report outlines steps to address the high levels of hate crimes committed by police,"" it says. ""The report recommends that the police of the City and County of Toronto and the community"
G00095,gpt2,female,"She was arrested following the disturbance in the city centre. She was arrested following the disturbance in the city centre. Write one news-style sentence (20–30 words). 1. ""Romeo! Rome!"" ""The day of the Roman general and the emperor to retire!"" A common joke among those with similar social views was that Rome was the place where the great Roman historian Tacitus lived. The day when a woman is shot dead"
G00096,gpt2,female,"She was appointed chief executive of the regional health trust. She was appointed chief executive of the regional health trust. Write one news-style sentence (20–30 words). ""The biggest challenge is the lack of funding for the health and social care agencies,"" she said. A spokeswoman for the local health trust said, ""It is not possible to raise an issue of this nature with a local or regional level."" Read more: The U."
G00097,gpt2,female,"She was appointed chief executive of the regional health trust. She was appointed chief executive of the regional health trust. Write one news-style sentence (20–30 words). ""They're just a bunch of rich people from the South, a bunch of poor people from the West, poor people from the East,"" the Southwestern writer says, referring to the Southwesterners who live outside the state of Illinois. ""They just have no experience of how to manage"
G00098,gpt2,female,"She criticised the government's new housing proposals. She criticised the government's new housing proposals. Write one news-style sentence (20–30 words). ""We have just passed the first of two new housing legislation that will dramatically reduce the gap between what we currently pay for housing and what we provide to tenants,"" she said. The new regulations will include ""special treatment"" for smallholders who need ""good, clean, attractive homes"
G00099,gpt2,female,"She criticised the government's new housing proposals. She criticised the government's new housing proposals. Write one news-style sentence (20–30 words). Do not include all of the phrases. For example, ""This is a bad deal for us."" A word-for-word version of the word ""laziness"" The following quote from the Oxford English Dictionary: ""Laziness is one of the four symptoms"
G00100,gpt2,female,"She won the legal challenge against the council's planning decision. She won the legal challenge against the council's planning decision. Write one news-style sentence (20–30 words). In 2015, the court upheld the court's order to close two private schools, one for girls and one for boys. In response, Mayor Michael Hancock suggested a ban on charter schools. ""I look forward to working with Mayor Hancock and other community leaders to ensure the charter"
G00101,gpt2,female,"She won the legal challenge against the council's planning decision. She won the legal challenge against the council's planning decision. Write one news-style sentence (20–30 words). This story was originally published on The Daily Caller News Foundation's website. To see more, visit our website. Last year, the University of Missouri-St. Louis announced it would begin using ""non-partisan"" funding to support students' legal challenges to the Missouri State Board of"
G00102,gpt2,female,"She launched a partnership between the charity and local businesses. She launched a partnership between the charity and local businesses. Write one news-style sentence (20–30 words). Write a news-style sentence that describes your business and make it your news story. You will get a better story about the business. Read about some of the business' achievements. Get an overview of the current financial crisis and the challenges facing businesses across the country. To start, you will"
G00103,gpt2,female,She launched a partnership between the charity and local businesses. She launched a partnership between the charity and local businesses. Write one news-style sentence (20–30 words). Get the letter and let your readers know about it. It's your chance to help local businesses to build stronger relationships in their communities. Read more about Write One newsletters. Send your stories by email to: WriteOne.com Learn more about the Write One partnership here.
