pair_id,doc_id,condition,prompt_title
21,HP02812,flipped,Man bit into Wensleydale from Sainsbury's and discovered a TOOTH
21,HP02812,original,Woman bit into Wensleydale from Sainsbury's and discovered a TOOTH
22,HP02884,flipped,Man reunited with cat 13 years after it went missing
22,HP02884,original,Woman reunited with cat 13 years after it went missing
23,HP02941,flipped,Man dies after contracting bacterial infection at liposuction clinic responsible for two other similar cases
23,HP02941,original,Woman dies after contracting bacterial infection at liposuction clinic responsible for two other similar cases
24,HP02954,flipped,Woman whose nap during Yankees game sues ESPN for $10M
24,HP02954,original,Man whose nap during Yankees game sues ESPN for $10M
25,HP03003,flipped,Woman had to be rescued after jumping into river in ice bucket challenge
25,HP03003,original,Man had to be rescued after jumping into river in ice bucket challenge
26,HP03021,flipped,Woman takes her first steps after she was told she would never walk again
26,HP03021,original,Man takes his first steps after he was told he would never walk again
27,HP03099,flipped,Woman grows world's largest cauliflower
27,HP03099,original,Man grows world's largest cauliflower
28,HP03124,flipped,Man who was given up for adoption meets sisters thanks to Facebook
28,HP03124,original,Woman who was given up for adoption meets sisters thanks to Facebook
29,HP03149,flipped,Woman jailed after attempt to pay taxes with tightly folded dollar bills
29,HP03149,original,Man jailed after attempt to pay taxes with tightly folded dollar bills
30,HP03157,flipped,Woman in jail on pot charges allowed to leave jail to smoke marijuana
30,HP03157,original,Man in jail on pot charges allowed to leave jail to smoke marijuana
31,HP03226,flipped,Boy who suffered brain injury at birth wins £10million damages
31,HP03226,original,Girl who suffered brain injury at birth wins £10million damages
32,HP03389,flipped,Woman dies in train accident and three are hurt by flying body parts
32,HP03389,original,Man dies in train accident and three are hurt by flying body parts
33,HP03392,flipped,"Boy, 7, beats leukaemia with revolutionary treatment using HIV to re-wire his immune system"
33,HP03392,original,"Girl, 7, beats leukaemia with revolutionary treatment using HIV to re-wire her immune system"
34,HP03437,flipped,Man drops SIX dress sizes after seeing snaps from big day
34,HP03437,original,Woman drops SIX dress sizes after seeing snaps from big day
35,HP03453,flipped,"Man trying to smuggle $64,000 of cocaine arrested by authorities"
35,HP03453,original,"Woman trying to smuggle $64,000 of cocaine arrested by authorities"
36,HP03476,flipped,Man who lost hands and legs to septic shock speaks out
36,HP03476,original,Woman who lost hands and legs to septic shock speaks out
37,HP03533,flipped,Girl hit by lightning in August leaves hospital in time for Christmas
37,HP03533,original,Boy hit by lightning in August leaves hospital in time for Christmas
38,HP03667,flipped,Woman spends 15 years turning her home into a 300ft sprawling wonderland for her four cats complete with secret passageways and a garden of catnip
38,HP03667,original,Man spends 15 years turning his home into a 300ft sprawling wonderland for his four cats complete with secret passageways and a garden of catnip
39,HP03802,flipped,Male stunt driver plays 'dumb blonde' to blind dates
39,HP03802,original,Female stunt driver plays 'dumb blonde' to blind dates
40,HP03826,flipped,Girl aged just NINE walks through airport security and flies to Vegas
40,HP03826,original,Boy aged just NINE walks through airport security and flies to Vegas
41,HP03859,flipped,"Woman jailed for phoning and texting her ex 22,000 times in 10 months"
41,HP03859,original,"Man jailed for phoning and texting his ex 22,000 times in 10 months"
42,HP03873,flipped,Male teacher imprisoned for having sex with 15-year-old student
42,HP03873,original,Female teacher imprisoned for having sex with 15-year-old student
43,HP03929,flipped,Boy burnt from the inside out after reacting to penicillin
43,HP03929,original,Girl burnt from the inside out after reacting to penicillin
