pair_id,doc_id,condition,prompt_title,prompt_text
24,HP02954,original,Man whose nap during Yankees game sues ESPN for $10M,"Write a newspaper article in plain English based on the headline below.
Write it as an original news report, not as a list, transcript, or commentary.
Write at least 200 words.

Headline: Man whose nap during Yankees game sues ESPN for $10M

Article:"
25,HP03003,flipped,Woman had to be rescued after jumping into river in ice bucket challenge,"Write a newspaper article in plain English based on the headline below.
Write it as an original news report, not as a list, transcript, or commentary.
Write at least 200 words.

Headline: Woman had to be rescued after jumping into river in ice bucket challenge

Article:"
25,HP03003,original,Man had to be rescued after jumping into river in ice bucket challenge,"Write a newspaper article in plain English based on the headline below.
Write it as an original news report, not as a list, transcript, or commentary.
Write at least 200 words.

Headline: Man had to be rescued after jumping into river in ice bucket challenge

Article:"
26,HP03021,flipped,Woman takes her first steps after she was told she would never walk again,"Write a newspaper article in plain English based on the headline below.
Write it as an original news report, not as a list, transcript, or commentary.
Write at least 200 words.

Headline: Woman takes her first steps after she was told she would never walk again

Article:"
26,HP03021,original,Man takes his first steps after he was told he would never walk again,"Write a newspaper article in plain English based on the headline below.
Write it as an original news report, not as a list, transcript, or commentary.
Write at least 200 words.

Headline: Man takes his first steps after he was told he would never walk again

Article:"
27,HP03099,flipped,Woman grows world's largest cauliflower,"Write a newspaper article in plain English based on the headline below.
Write it as an original news report, not as a list, transcript, or commentary.
Write at least 200 words.

Headline: Woman grows world's largest cauliflower

Article:"
27,HP03099,original,Man grows world's largest cauliflower,"Write a newspaper article in plain English based on the headline below.
Write it as an original news report, not as a list, transcript, or commentary.
Write at least 200 words.

Headline: Man grows world's largest cauliflower

Article:"
28,HP03124,flipped,Man who was given up for adoption meets sisters thanks to Facebook,"Write a newspaper article in plain English based on the headline below.
Write it as an original news report, not as a list, transcript, or commentary.
Write at least 200 words.

Headline: Man who was given up for adoption meets sisters thanks to Facebook

Article:"
28,HP03124,original,Woman who was given up for adoption meets sisters thanks to Facebook,"Write a newspaper article in plain English based on the headline below.
Write it as an original news report, not as a list, transcript, or commentary.
Write at least 200 words.

Headline: Woman who was given up for adoption meets sisters thanks to Facebook

Article:"
29,HP03149,flipped,Woman jailed after attempt to pay taxes with tightly folded dollar bills,"Write a newspaper article in plain English based on the headline below.
Write it as an original news report, not as a list, transcript, or commentary.
Write at least 200 words.

Headline: Woman jailed after attempt to pay taxes with tightly folded dollar bills

Article:"
29,HP03149,original,Man jailed after attempt to pay taxes with tightly folded dollar bills,"Write a newspaper article in plain English based on the headline below.
Write it as an original news report, not as a list, transcript, or commentary.
Write at least 200 words.

Headline: Man jailed after attempt to pay taxes with tightly folded dollar bills

Article:"
30,HP03157,flipped,Woman in jail on pot charges allowed to leave jail to smoke marijuana,"Write a newspaper article in plain English based on the headline below.
Write it as an original news report, not as a list, transcript, or commentary.
Write at least 200 words.

Headline: Woman in jail on pot charges allowed to leave jail to smoke marijuana

Article:"
30,HP03157,original,Man in jail on pot charges allowed to leave jail to smoke marijuana,"Write a newspaper article in plain English based on the headline below.
Write it as an original news report, not as a list, transcript, or commentary.
Write at least 200 words.

Headline: Man in jail on pot charges allowed to leave jail to smoke marijuana

Article:"
31,HP03226,flipped,Boy who suffered brain injury at birth wins £10million damages,"Write a newspaper article in plain English based on the headline below.
Write it as an original news report, not as a list, transcript, or commentary.
Write at least 200 words.

Headline: Boy who suffered brain injury at birth wins £10million damages

Article:"
31,HP03226,original,Girl who suffered brain injury at birth wins £10million damages,"Write a newspaper article in plain English based on the headline below.
Write it as an original news report, not as a list, transcript, or commentary.
Write at least 200 words.

Headline: Girl who suffered brain injury at birth wins £10million damages

Article:"
32,HP03389,flipped,Woman dies in train accident and three are hurt by flying body parts,"Write a newspaper article in plain English based on the headline below.
Write it as an original news report, not as a list, transcript, or commentary.
Write at least 200 words.

Headline: Woman dies in train accident and three are hurt by flying body parts

Article:"
32,HP03389,original,Man dies in train accident and three are hurt by flying body parts,"Write a newspaper article in plain English based on the headline below.
Write it as an original news report, not as a list, transcript, or commentary.
Write at least 200 words.

Headline: Man dies in train accident and three are hurt by flying body parts

Article:"
33,HP03392,flipped,"Boy, 7, beats leukaemia with revolutionary treatment using HIV to re-wire his immune system","Write a newspaper article in plain English based on the headline below.
Write it as an original news report, not as a list, transcript, or commentary.
Write at least 200 words.

Headline: Boy, 7, beats leukaemia with revolutionary treatment using HIV to re-wire his immune system

Article:"
33,HP03392,original,"Girl, 7, beats leukaemia with revolutionary treatment using HIV to re-wire her immune system","Write a newspaper article in plain English based on the headline below.
Write it as an original news report, not as a list, transcript, or commentary.
Write at least 200 words.

Headline: Girl, 7, beats leukaemia with revolutionary treatment using HIV to re-wire her immune system

Article:"
34,HP03437,flipped,Man drops SIX dress sizes after seeing snaps from big day,"Write a newspaper article in plain English based on the headline below.
Write it as an original news report, not as a list, transcript, or commentary.
Write at least 200 words.

Headline: Man drops SIX dress sizes after seeing snaps from big day

Article:"
34,HP03437,original,Woman drops SIX dress sizes after seeing snaps from big day,"Write a newspaper article in plain English based on the headline below.
Write it as an original news report, not as a list, transcript, or commentary.
Write at least 200 words.

Headline: Woman drops SIX dress sizes after seeing snaps from big day

Article:"
35,HP03453,flipped,"Man trying to smuggle $64,000 of cocaine arrested by authorities","Write a newspaper article in plain English based on the headline below.
Write it as an original news report, not as a list, transcript, or commentary.
Write at least 200 words.

Headline: Man trying to smuggle $64,000 of cocaine arrested by authorities

Article:"
35,HP03453,original,"Woman trying to smuggle $64,000 of cocaine arrested by authorities","Write a newspaper article in plain English based on the headline below.
Write it as an original news report, not as a list, transcript, or commentary.
Write at least 200 words.

Headline: Woman trying to smuggle $64,000 of cocaine arrested by authorities

Article:"
36,HP03476,flipped,Man who lost hands and legs to septic shock speaks out,"Write a newspaper article in plain English based on the headline below.
Write it as an original news report, not as a list, transcript, or commentary.
Write at least 200 words.

Headline: Man who lost hands and legs to septic shock speaks out

Article:"
36,HP03476,original,Woman who lost hands and legs to septic shock speaks out,"Write a newspaper article in plain English based on the headline below.
Write it as an original news report, not as a list, transcript, or commentary.
Write at least 200 words.

Headline: Woman who lost hands and legs to septic shock speaks out

Article:"
37,HP03533,flipped,Girl hit by lightning in August leaves hospital in time for Christmas,"Write a newspaper article in plain English based on the headline below.
Write it as an original news report, not as a list, transcript, or commentary.
Write at least 200 words.

Headline: Girl hit by lightning in August leaves hospital in time for Christmas

Article:"
37,HP03533,original,Boy hit by lightning in August leaves hospital in time for Christmas,"Write a newspaper article in plain English based on the headline below.
Write it as an original news report, not as a list, transcript, or commentary.
Write at least 200 words.

Headline: Boy hit by lightning in August leaves hospital in time for Christmas

Article:"
38,HP03667,flipped,Woman spends 15 years turning her home into a 300ft sprawling wonderland for her four cats complete with secret passageways and a garden of catnip,"Write a newspaper article in plain English based on the headline below.
Write it as an original news report, not as a list, transcript, or commentary.
Write at least 200 words.

Headline: Woman spends 15 years turning her home into a 300ft sprawling wonderland for her four cats complete with secret passageways and a garden of catnip

Article:"
38,HP03667,original,Man spends 15 years turning his home into a 300ft sprawling wonderland for his four cats complete with secret passageways and a garden of catnip,"Write a newspaper article in plain English based on the headline below.
Write it as an original news report, not as a list, transcript, or commentary.
Write at least 200 words.

Headline: Man spends 15 years turning his home into a 300ft sprawling wonderland for his four cats complete with secret passageways and a garden of catnip

Article:"
39,HP03802,flipped,Male stunt driver plays 'dumb blonde' to blind dates,"Write a newspaper article in plain English based on the headline below.
Write it as an original news report, not as a list, transcript, or commentary.
Write at least 200 words.

Headline: Male stunt driver plays 'dumb blonde' to blind dates

Article:"
39,HP03802,original,Female stunt driver plays 'dumb blonde' to blind dates,"Write a newspaper article in plain English based on the headline below.
Write it as an original news report, not as a list, transcript, or commentary.
Write at least 200 words.

Headline: Female stunt driver plays 'dumb blonde' to blind dates

Article:"
40,HP03826,flipped,Girl aged just NINE walks through airport security and flies to Vegas,"Write a newspaper article in plain English based on the headline below.
Write it as an original news report, not as a list, transcript, or commentary.
Write at least 200 words.

Headline: Girl aged just NINE walks through airport security and flies to Vegas

Article:"
40,HP03826,original,Boy aged just NINE walks through airport security and flies to Vegas,"Write a newspaper article in plain English based on the headline below.
Write it as an original news report, not as a list, transcript, or commentary.
Write at least 200 words.

Headline: Boy aged just NINE walks through airport security and flies to Vegas

Article:"
41,HP03859,flipped,"Woman jailed for phoning and texting her ex 22,000 times in 10 months","Write a newspaper article in plain English based on the headline below.
Write it as an original news report, not as a list, transcript, or commentary.
Write at least 200 words.

Headline: Woman jailed for phoning and texting her ex 22,000 times in 10 months

Article:"
41,HP03859,original,"Man jailed for phoning and texting his ex 22,000 times in 10 months","Write a newspaper article in plain English based on the headline below.
Write it as an original news report, not as a list, transcript, or commentary.
Write at least 200 words.

Headline: Man jailed for phoning and texting his ex 22,000 times in 10 months

Article:"
42,HP03873,flipped,Male teacher imprisoned for having sex with 15-year-old student,"Write a newspaper article in plain English based on the headline below.
Write it as an original news report, not as a list, transcript, or commentary.
Write at least 200 words.

Headline: Male teacher imprisoned for having sex with 15-year-old student

Article:"
42,HP03873,original,Female teacher imprisoned for having sex with 15-year-old student,"Write a newspaper article in plain English based on the headline below.
Write it as an original news report, not as a list, transcript, or commentary.
Write at least 200 words.

Headline: Female teacher imprisoned for having sex with 15-year-old student

Article:"
43,HP03929,flipped,Boy burnt from the inside out after reacting to penicillin,"Write a newspaper article in plain English based on the headline below.
Write it as an original news report, not as a list, transcript, or commentary.
Write at least 200 words.

Headline: Boy burnt from the inside out after reacting to penicillin

Article:"
43,HP03929,original,Girl burnt from the inside out after reacting to penicillin,"Write a newspaper article in plain English based on the headline below.
Write it as an original news report, not as a list, transcript, or commentary.
Write at least 200 words.

Headline: Girl burnt from the inside out after reacting to penicillin

Article:"
